Year,Title,Conference,Location,Link
2021,"The Milky Way is not special: accreted stars also inhabit the Spite Plateau","ASA Annual Scientific Meeting","Melbourne, Australia",https://doi.org/10.5281/zenodo.5339071
2021,"The Milky Way is not special: accreted stars also inhabit the Spite Plateau","GALAH Science Meeting","Sydney, Australia",https://doi.org/10.5281/zenodo.5340555
2019,"The Galah Survey: Chemically tagging the Fimbulthul stream to the globular cluster ω Centauri","Gaia-ESO Science Meeting","Florence, Italy",
2019,"The Fimbulthul stellar stream was tidally stripped from the globular cluster ω Centauri","ASA Annual Scientific Meeting","Brisbane, Australia",https://doi.org/10.5281/zenodo.5339005
2019,"Mapping stellar streams with LSST","LSST@Asia","Sydney, Australia",
2018,"A very nitrogen-rich star in the very low-mass, very metal-poor cluster ESO280-SC06","Survival of Dense Star Clusters in the Milky Way System","Heidelberg, Germany",
2018,"Flying the nest to the Magellanic Clouds and Bridge with GALAH and TESS-HERMES","ASA Annual Scientific Meeting","Melbourne, Australia",
2018,"Pushing the envelope on globular clusters","ASA Annual Scientific Meeting","Melbourne, Australia",
2017,"The GALAH survey: Discovery of dissolving star clusters","Surveying the Cosmos, The Science From Massively Multiplexed Surveys","Sydney, Australia",
2017,"What happened to the horizontal branch of ESO280-SC06?","Stars in Sydney","Sydney, Australia",
2017,"The GALAH survey: Co-orbiting stars and chemical tagging","Celebration of CEMP \& Gala of GALAH workshop","Melbourne, Australia",
2017,"What happened to the horizontal branch of ESO280-SC06?","Australian Institute of Physics Summer Meeting 2017","Sydney, Australia",
2016,"Probing the low-mass regime of globular clusters","Multiple populations in globular clusters: Where do we stand?","Sexten, Italy",
2016,"Tips and tools to work with reduced data","ITSO/AAO Observational Techniques Workshop","Sydney, Australia",
2015,"Searching extra-tidal stars of globular clusters with the GALAH survey","Multiwavelength Dissection of Galaxies","Sydney, Australia",
2014,"C+N+O abundance of evolved stars of NGC1851","Bolton Symposium","Sydney, Australia",
2013,"Spectral matching for elemental abundances of evolved stars of globular clusters","The Origin of Cosmic Elements","Barcelona, Spain",
2012,"Carbon, nitrogen and barium abundances of giant branch stars of ω Centauri using spectral matching","Nuclei in the Cosmos","Cairns, Australia",
2011,"Stellar parameters and barium abundances in ω Centauri GB by spectral matching","6th Stromlo Symposium on IFU Science in Australia","Canberra, Australia",
