Semester,PI,Telescope,Instrument,Time,Title,Link,
2021B,TRUE,ESO VLT,UVES,30 hours,One Stream or Two: Chemical Abundances of the Indus and Jhelum Stellar Streams,http://archive.eso.org/wdb/wdb/eso/approved_runs/query?tel=UT2&prog_id=108.22F5.001&period=108&remarks=%20
2021B,,ESO VLT,UVES,11 hours,A Spectroscopic Exploration of the Tidal Extensions of omega Centauri,http://archive.eso.org/wdb/wdb/eso/approved_runs/query?tel=UT2&prog_id=108.22MM.001&period=108&remarks=%20
2017A,TRUE,Keck Observatory,DEIMOS,0.5 nights,ESO452: Exploring self-enrichment in low mass stellar clusters,
2019A,TRUE,Magellan Telescopes,,1 night,"Chemical abundances of a faint, metal-poor globular cluster",
2021B,,Anglo-Australian Telescope,Veloce,10 nights,The astrophysical origins of spectro-seismology,
2021B,,Anglo-Australian Telescope,AAOmega,7.5 nights,A Comprehensive Spectroscopic Survey of Southern Stellar Streams,
2020B,,Anglo-Australian Telescope,HERMES,155 nights over 4 semesters,The GALAH Survey: Phase 2,
2020B,,Anglo-Australian Telescope,Veloce,15 nights,The astrophysical origins of spectro-seismology,
2020B,,Anglo-Australian Telescope,HERMES,13 nights,The K2-HERMES follow-up program,
2020B,,Anglo-Australian Telescope,AAOmega,14 nights,The Southern Stellar Stream Spectroscopic Survey,
2020A,,Anglo-Australian Telescope,HERMES,15.5 nights,The K2-HERMES follow-up program,
2020A,,Anglo-Australian Telescope,AAOmega,13 nights,The Southern Stellar Stream Spectroscopic Survey,
2020A,,Anglo-Australian Telescope,AAOmega,4.5 nights,Tracing the metal-poor tail of the inner Galaxy with the Pristine survey,
2019B,,Anglo-Australian Telescope,HERMES,10 nights,The HERMES K2 followup program,
2019B,TRUE,Anglo-Australian Telescope,AAOmega,3 nights,Chemical tagging between stellar streams and globular clusters,
2019B,,Anglo-Australian Telescope,HERMES,10 nights,The HERMES K2 followup program,
2019B,,Anglo-Australian Telescope,Veloce,3 nights,How many extremely metal-poor stars in the Milky Way are on disk orbits?,
2019A,,Anglo-Australian Telescope,HERMES,41 nights,The GALAH Survey: Phase 2,
2019A,,Anglo-Australian Telescope,AAOmega,10 nights,The Galaxy&apos;s Dark Side: Dynamical Studies with the Southern Stellar Stream Spectroscopic Survey,
2019A,,Anglo-Australian Telescope,HERMES,4 nights,Hierarchical star formation in Ori OB1,
2018B,,Anglo-Australian Telescope,AAOmega,10 nights,Dynamical Studies of DES Stellar Streams,
2018B,,Anglo-Australian Telescope,HERMES,8 nights,The HERMES-TESS program,
2018A,,Anglo-Australian Telescope,HERMES,5 nights,Open clusters with HERMES,
2017B,,Anglo-Australian Telescope,HERMES,13 nights,Open clusters with HERMES,
2017A,,Anglo-Australian Telescope,AAOmega,6 hours,How Extended is the Stellar Envelope of NGC5694?,
2016A,TRUE,Anglo-Australian Telescope,AAOmega,6 hours,Probing the low mass regime of globular clusters,
2015A,,Anglo-Australian Telescope,HERMES,35 nights for 4 semesters,The GALAH Survey,
2017A,,Anglo-Australian Telescope,HERMES,35 nights for 2 semesters,The GALAH Survey: Phase 2,
2016A,,Anglo-Australian Telescope,HERMES,12 nights for 4 semesters,The HERMES K2-follow-up program
